Bait	Prey	PreyGene	IP	Intensity	IntensitySum	NumRep	Prob	iProb	ctrlIntensity	AvgP	MaxP	FDR
MEPCE	gi|289577080|gn|EIF4G2:1982|	gi|289577080|gn|EIF4G2:1982|	46_Swath_MEPCEJune7-Biorep3	0.157	0.157	1	0.00	0.00	7.99	0.0000	0.0000	0.9404
MEPCE	gi|23110925|gn|PSMB6:5694|	gi|23110925|gn|PSMB6:5694|	46_Swath_MEPCEJune7-Biorep3	1.254	1.254	1	0.00	0.00	1.22	0.0000	0.0000	0.9404
MEPCE	gi|4506625|gn|RPL27A:6157|	gi|4506625|gn|RPL27A:6157|	46_Swath_MEPCEJune7-Biorep3	2.025	2.025	1	0.01	0.01	1.19	0.0080	0.0080	0.4906
MEPCE	gi|42741682|gn|ZRANB2:9406|	gi|42741682|gn|ZRANB2:9406|	46_Swath_MEPCEJune7-Biorep3	0.539	0.539	1	0.00	0.00	0.36	0.0000	0.0000	0.9404
MEPCE	gi|7657315|gn|LSM3:27258|	gi|7657315|gn|LSM3:27258|	46_Swath_MEPCEJune7-Biorep3	2.098	2.098	1	0.50	0.50	0.57	0.5000	0.5000	0.1864
MEPCE	gi|62244004|gn|SLTM:79811|	gi|62244004|gn|SLTM:79811|	46_Swath_MEPCEJune7-Biorep3	0.328	0.328	1	0.00	0.00	0.34	0.0000	0.0000	0.9404
MEPCE	gi|24307971|gn|STK38L:23012|	gi|24307971|gn|STK38L:23012|	46_Swath_MEPCEJune7-Biorep3	0.915	0.915	1	0.00	0.00	1.06	0.0000	0.0000	0.9404
MEPCE	gi|14149807|gn|NSRP1:84081|	gi|14149807|gn|NSRP1:84081|	46_Swath_MEPCEJune7-Biorep3	0.597	0.597	1	0.00	0.00	0.55	0.0000	0.0000	0.9404
MEPCE	gi|19923485|gn|LUC7L3:51747|	gi|19923485|gn|LUC7L3:51747|	46_Swath_MEPCEJune7-Biorep3	2.472	2.472	1	0.00	0.00	2.28	0.0020	0.0020	0.6137
MEPCE	gi|54607053|gn|GCN1L1:10985|	gi|54607053|gn|GCN1L1:10985|	46_Swath_MEPCEJune7-Biorep3	0.266	0.266	1	0.00	0.00	0.32	0.0000	0.0000	0.9404
MEPCE	gi|59859885|gn|RPSA:3921|	gi|59859885|gn|RPSA:3921|	46_Swath_MEPCEJune7-Biorep3	3.019	3.019	1	0.00	0.00	4.18	0.0000	0.0000	0.9404
MEPCE	gi|4506411|gn|RANGAP1:5905|	gi|4506411|gn|RANGAP1:5905|	46_Swath_MEPCEJune7-Biorep3	0.206	0.206	1	0.00	0.00	0.22	0.0000	0.0000	0.9404
MEPCE	gi|91208426|gn|PRPF8:10594|	gi|91208426|gn|PRPF8:10594|	46_Swath_MEPCEJune7-Biorep3	1.648	1.648	1	0.14	0.14	0.61	0.1360	0.1360	0.3160
MEPCE	gi|4757900|gn|CALR:811|	gi|4757900|gn|CALR:811|	46_Swath_MEPCEJune7-Biorep3	0.460	0.460	1	0.00	0.00	1.24	0.0000	0.0000	0.9404
MEPCE	gi|4506189|gn|PSMA7:5688|	gi|4506189|gn|PSMA7:5688|	46_Swath_MEPCEJune7-Biorep3	1.048	1.048	1	0.00	0.00	0.93	0.0000	0.0000	0.9404
MEPCE	gi|5031703|gn|G3BP1:10146|	gi|5031703|gn|G3BP1:10146|	46_Swath_MEPCEJune7-Biorep3	1.330	1.330	1	0.00	0.00	3.18	0.0000	0.0000	0.9404
MEPCE	gi|187608516|gn|ACAP2:23527|	gi|187608516|gn|ACAP2:23527|	46_Swath_MEPCEJune7-Biorep3	0.144	0.144	1	0.00	0.00	0.21	0.0000	0.0000	0.9404
MEPCE	gi|20270371|gn|CMBL:134147|	gi|20270371|gn|CMBL:134147|	46_Swath_MEPCEJune7-Biorep3	1.428	1.428	1	0.00	0.00	2.49	0.0000	0.0000	0.9404
MEPCE	gi|4502549|gn|CALM2:805|	gi|4502549|gn|CALM2:805|	46_Swath_MEPCEJune7-Biorep3	0.285	0.285	1	0.00	0.00	0.34	0.0000	0.0000	0.9404
MEPCE	gi|313569768|gn|RPL17:6139|	gi|313569768|gn|RPL17:6139|	46_Swath_MEPCEJune7-Biorep3	2.206	2.206	1	0.02	0.02	1.12	0.0220	0.0220	0.4105
MEPCE	gi|4504425|gn|HMGB1:3146|	gi|4504425|gn|HMGB1:3146|	46_Swath_MEPCEJune7-Biorep3	0.779	0.779	1	0.00	0.00	0.69	0.0020	0.0020	0.6137
MEPCE	gi|19923193|gn|ST13:6767|	gi|19923193|gn|ST13:6767|	46_Swath_MEPCEJune7-Biorep3	1.166	1.166	1	0.00	0.00	1.64	0.0000	0.0000	0.9404
MEPCE	gi|5803181|gn|STIP1:10963|	gi|5803181|gn|STIP1:10963|	46_Swath_MEPCEJune7-Biorep3	3.142	3.142	1	0.00	0.00	3.16	0.0000	0.0000	0.9404
MEPCE	gi|4506017|gn|PPP2CA:5515|	gi|4506017|gn|PPP2CA:5515|	46_Swath_MEPCEJune7-Biorep3	0.465	0.465	1	0.00	0.00	0.49	0.0000	0.0000	0.9404
MEPCE	P12763	P12763	46_Swath_MEPCEJune7-Biorep3	0.685	0.685	1	0.91	0.91	.	0.9080	0.9080	0.0408
MEPCE	gi|27262628|gn|NASP:4678|	gi|27262628|gn|NASP:4678|	46_Swath_MEPCEJune7-Biorep3	1.521	1.521	1	0.00	0.00	1.35	0.0000	0.0000	0.9404
MEPCE	gi|19923142|gn|KPNB1:3837|	gi|19923142|gn|KPNB1:3837|	46_Swath_MEPCEJune7-Biorep3	4.214	4.214	1	0.12	0.12	1.74	0.1200	0.1200	0.3269
MEPCE	gi|10835063|gn|NPM1:4869|	gi|10835063|gn|NPM1:4869|	46_Swath_MEPCEJune7-Biorep3	2.785	2.785	1	0.20	0.20	0.99	0.2020	0.2020	0.2939
MEPCE	gi|156713442|gn|PSMA4:5685|	gi|156713442|gn|PSMA4:5685|	46_Swath_MEPCEJune7-Biorep3	0.920	0.920	1	0.00	0.00	0.94	0.0000	0.0000	0.9404
MEPCE	gi|16753227|gn|RPL6:6128|	gi|16753227|gn|RPL6:6128|	46_Swath_MEPCEJune7-Biorep3	1.735	1.735	1	0.71	0.71	0.34	0.7100	0.7100	0.1085
MEPCE	gi|23110935|gn|PSMA1:5682|	gi|23110935|gn|PSMA1:5682|	46_Swath_MEPCEJune7-Biorep3	0.934	0.934	1	0.00	0.00	0.79	0.0000	0.0000	0.9404
MEPCE	gi|23510448|gn|MCM5:4174|	gi|23510448|gn|MCM5:4174|	46_Swath_MEPCEJune7-Biorep3	0.710	0.710	1	0.00	0.00	0.64	0.0000	0.0000	0.9404
MEPCE	gi|10863889|gn|SART1:9092|	gi|10863889|gn|SART1:9092|	46_Swath_MEPCEJune7-Biorep3	1.165	1.165	1	0.94	0.94	.	0.9420	0.9420	0.0244
MEPCE	gi|322303127|gn|RPS10:6204|	gi|322303127|gn|RPS10:6204|	46_Swath_MEPCEJune7-Biorep3	2.477	2.477	1	0.00	0.00	2.12	0.0000	0.0000	0.9404
MEPCE	gi|4885281|gn|GLUD1:2746|	gi|4885281|gn|GLUD1:2746|	46_Swath_MEPCEJune7-Biorep3	0.841	0.841	1	0.00	0.00	0.56	0.0040	0.0040	0.5549
MEPCE	gi|17986258|gn|MYL6:4637|	gi|17986258|gn|MYL6:4637|	46_Swath_MEPCEJune7-Biorep3	1.554	1.554	1	0.00	0.00	1.71	0.0000	0.0000	0.9404
MEPCE	gi|118582269|gn|SRSF1:6426|	gi|118582269|gn|SRSF1:6426|	46_Swath_MEPCEJune7-Biorep3	0.592	0.592	1	0.00	0.00	0.59	0.0000	0.0000	0.9404
MEPCE	gi|15431301|gn|RPL7:6129|	gi|15431301|gn|RPL7:6129|	46_Swath_MEPCEJune7-Biorep3	2.399	2.399	1	0.91	0.91	.	0.9100	0.9100	0.0389
MEPCE	gi|167234419|gn|THRAP3:9967|	gi|167234419|gn|THRAP3:9967|	46_Swath_MEPCEJune7-Biorep3	1.291	1.291	1	0.82	0.82	0.10	0.8240	0.8240	0.0614
MEPCE	gi|5454158|gn|VARS:7407|	gi|5454158|gn|VARS:7407|	46_Swath_MEPCEJune7-Biorep3	0.598	0.598	1	0.00	0.00	1.00	0.0000	0.0000	0.9404
MEPCE	gi|294832006|gn|PPP2R2A:5520|	gi|294832006|gn|PPP2R2A:5520|	46_Swath_MEPCEJune7-Biorep3	0.476	0.476	1	0.00	0.00	0.28	0.0000	0.0000	0.9404
MEPCE	gi|4503513|gn|EIF3I:8668|	gi|4503513|gn|EIF3I:8668|	46_Swath_MEPCEJune7-Biorep3	1.481	1.481	1	0.00	0.00	10.68	0.0000	0.0000	0.9404
MEPCE	gi|28373192|gn|ADRM1:11047|	gi|28373192|gn|ADRM1:11047|	46_Swath_MEPCEJune7-Biorep3	0.212	0.212	1	0.00	0.00	0.31	0.0000	0.0000	0.9404
MEPCE	gi|4506645|gn|RPL38:6169|	gi|4506645|gn|RPL38:6169|	46_Swath_MEPCEJune7-Biorep3	4.146	4.146	1	0.00	0.00	3.67	0.0000	0.0000	0.9404
MEPCE	gi|154355000|gn|KHSRP:8570|	gi|154355000|gn|KHSRP:8570|	46_Swath_MEPCEJune7-Biorep3	0.272	0.272	1	0.00	0.00	0.35	0.0000	0.0000	0.9404
MEPCE	gi|17105394|gn|RPL23A:6147|	gi|17105394|gn|RPL23A:6147|	46_Swath_MEPCEJune7-Biorep3	1.860	1.860	1	0.00	0.00	1.41	0.0020	0.0020	0.6137
MEPCE	gi|151301219|gn|PRMT1:3276|	gi|151301219|gn|PRMT1:3276|	46_Swath_MEPCEJune7-Biorep3	0.337	0.337	1	0.00	0.00	0.56	0.0000	0.0000	0.9404
MEPCE	gi|14165469|gn|RPS15A:6210|	gi|14165469|gn|RPS15A:6210|	46_Swath_MEPCEJune7-Biorep3	1.275	1.275	1	0.00	0.00	1.70	0.0000	0.0000	0.9404
MEPCE	gi|56676330|gn|HP1BP3:50809|	gi|56676330|gn|HP1BP3:50809|	46_Swath_MEPCEJune7-Biorep3	0.328	0.328	1	0.71	0.71	.	0.7080	0.7080	0.1153
MEPCE	gi|7656879|gn|AFF4:27125|	gi|7656879|gn|AFF4:27125|	46_Swath_MEPCEJune7-Biorep3	0.426	0.426	1	0.76	0.76	.	0.7580	0.7580	0.0836
MEPCE	gi|4506707|gn|RPS25:6230|	gi|4506707|gn|RPS25:6230|	46_Swath_MEPCEJune7-Biorep3	2.329	2.329	1	0.00	0.00	1.87	0.0000	0.0000	0.9404
MEPCE	gi|21361144|gn|PSMC3:5702|	gi|21361144|gn|PSMC3:5702|	46_Swath_MEPCEJune7-Biorep3	1.292	1.292	1	0.00	0.00	1.49	0.0000	0.0000	0.9404
MEPCE	gi|4507873|gn|VBP1:7411|	gi|4507873|gn|VBP1:7411|	46_Swath_MEPCEJune7-Biorep3	0.247	0.247	1	0.00	0.00	0.41	0.0000	0.0000	0.9404
MEPCE	gi|336176066|gn|RBM39:9584|	gi|336176066|gn|RBM39:9584|	46_Swath_MEPCEJune7-Biorep3	2.432	2.432	1	0.00	0.00	2.40	0.0000	0.0000	0.9404
MEPCE	gi|5901926|gn|NUDT21:11051|	gi|5901926|gn|NUDT21:11051|	46_Swath_MEPCEJune7-Biorep3	0.795	0.795	1	0.00	0.00	0.60	0.0000	0.0000	0.9404
MEPCE	gi|47271406|gn|MEPCE:56257|	gi|47271406|gn|MEPCE:56257|	46_Swath_MEPCEJune7-Biorep3	22.162	22.162	1	1.00	1.00	.	0.9980	0.9980	0.0020
MEPCE	gi|312284072|gn|RPS17L:100505503|	gi|312284072|gn|RPS17L:100505503|	46_Swath_MEPCEJune7-Biorep3	1.305	1.305	1	0.00	0.00	2.10	0.0000	0.0000	0.9404
MEPCE	gi|122937227|gn|U2SURP:23350|	gi|122937227|gn|U2SURP:23350|	46_Swath_MEPCEJune7-Biorep3	0.368	0.368	1	0.00	0.00	0.26	0.0000	0.0000	0.9404
MEPCE	gi|68160937|gn|TRIM25:7706|	gi|68160937|gn|TRIM25:7706|	46_Swath_MEPCEJune7-Biorep3	0.297	0.297	1	0.68	0.68	.	0.6820	0.6820	0.1286
MEPCE	gi|260099723|gn|LDHA:3939|	gi|260099723|gn|LDHA:3939|	46_Swath_MEPCEJune7-Biorep3	1.098	1.098	1	0.01	0.01	0.65	0.0120	0.0120	0.4553
MEPCE	gi|7661920|gn|EIF4A3:9775|	gi|7661920|gn|EIF4A3:9775|	46_Swath_MEPCEJune7-Biorep3	0.239	0.239	1	0.00	0.00	8.98	0.0000	0.0000	0.9404
MEPCE	gi|7705433|gn|EIF3L:51386|	gi|7705433|gn|EIF3L:51386|	46_Swath_MEPCEJune7-Biorep3	0.871	0.871	1	0.00	0.00	8.26	0.0000	0.0000	0.9404
MEPCE	gi|41393554|gn|LUC7L:55692|	gi|41393554|gn|LUC7L:55692|	46_Swath_MEPCEJune7-Biorep3	3.019	3.019	1	0.00	0.00	2.23	0.0040	0.0040	0.5549
MEPCE	gi|5454154|gn|PPIH:10465|	gi|5454154|gn|PPIH:10465|	46_Swath_MEPCEJune7-Biorep3	1.758	1.758	1	0.97	0.97	.	0.9740	0.9740	0.0152
MEPCE	gi|4503471|gn|EEF1A1:1915|	gi|4503471|gn|EEF1A1:1915|	46_Swath_MEPCEJune7-Biorep3	6.903	6.903	1	0.00	0.00	7.54	0.0000	0.0000	0.9404
MEPCE	gi|15431290|gn|RPL11:6135|	gi|15431290|gn|RPL11:6135|	46_Swath_MEPCEJune7-Biorep3	1.881	1.881	1	0.24	0.24	0.63	0.2440	0.2440	0.2835
MEPCE	gi|15718687|gn|RPS3:6188|	gi|15718687|gn|RPS3:6188|	46_Swath_MEPCEJune7-Biorep3	5.910	5.910	1	0.00	0.00	4.91	0.0000	0.0000	0.9404
MEPCE	gi|14141166|gn|PCBP2:5094|	gi|14141166|gn|PCBP2:5094|	46_Swath_MEPCEJune7-Biorep3	0.491	0.491	1	0.00	0.00	0.57	0.0000	0.0000	0.9404
MEPCE	gi|343887347|gn|CD2BP2:10421|	gi|343887347|gn|CD2BP2:10421|	46_Swath_MEPCEJune7-Biorep3	0.179	0.179	1	0.00	0.00	0.16	0.0000	0.0000	0.9404
MEPCE	gi|148352329|gn|SEPT7:989|	gi|148352329|gn|SEPT7:989|	46_Swath_MEPCEJune7-Biorep3	0.412	0.412	1	0.00	0.00	0.60	0.0000	0.0000	0.9404
MEPCE	gi|19923315|gn|SHMT2:6472|	gi|19923315|gn|SHMT2:6472|	46_Swath_MEPCEJune7-Biorep3	1.243	1.243	1	0.01	0.01	0.74	0.0080	0.0080	0.4906
MEPCE	gi|156631005|gn|PSMD8:5714|	gi|156631005|gn|PSMD8:5714|	46_Swath_MEPCEJune7-Biorep3	0.317	0.317	1	0.00	0.00	0.33	0.0000	0.0000	0.9404
MEPCE	gi|49472822|gn|EIF3G:8666|	gi|49472822|gn|EIF3G:8666|	46_Swath_MEPCEJune7-Biorep3	1.325	1.325	1	0.00	0.00	10.02	0.0000	0.0000	0.9404
MEPCE	gi|153792590|gn|HSP90AA1:3320|	gi|153792590|gn|HSP90AA1:3320|	46_Swath_MEPCEJune7-Biorep3	8.925	8.925	1	0.00	0.00	9.59	0.0000	0.0000	0.9404
MEPCE	gi|7427519|gn|MCM6:4175|	gi|7427519|gn|MCM6:4175|	46_Swath_MEPCEJune7-Biorep3	1.217	1.217	1	0.00	0.00	1.06	0.0000	0.0000	0.9404
MEPCE	gi|395132436|gn|RPL18:6141|	gi|395132436|gn|RPL18:6141|	46_Swath_MEPCEJune7-Biorep3	2.006	2.006	1	0.66	0.66	0.32	0.6600	0.6600	0.1321
MEPCE	gi|24234747|gn|ILF2:3608|	gi|24234747|gn|ILF2:3608|	46_Swath_MEPCEJune7-Biorep3	0.802	0.802	1	0.00	0.00	0.95	0.0000	0.0000	0.9404
MEPCE	gi|32189394|gn|ATP5B:506|	gi|32189394|gn|ATP5B:506|	46_Swath_MEPCEJune7-Biorep3	0.920	0.920	1	0.32	0.32	0.28	0.3180	0.3180	0.2634
MEPCE	gi|38679892|gn|PIN4:5303|	gi|38679892|gn|PIN4:5303|	46_Swath_MEPCEJune7-Biorep3	2.481	2.481	1	0.00	0.00	2.33	0.0000	0.0000	0.9404
MEPCE	gi|42542379|gn|SRRM1:10250|	gi|42542379|gn|SRRM1:10250|	46_Swath_MEPCEJune7-Biorep3	0.403	0.403	1	0.00	0.00	0.28	0.0040	0.0040	0.5549
MEPCE	gi|40217847|gn|SNRNP200:23020|	gi|40217847|gn|SNRNP200:23020|	46_Swath_MEPCEJune7-Biorep3	1.707	1.707	1	0.36	0.36	0.52	0.3620	0.3620	0.2443
MEPCE	gi|382546190|gn|ATP5A1:498|	gi|382546190|gn|ATP5A1:498|	46_Swath_MEPCEJune7-Biorep3	1.046	1.046	1	0.02	0.02	0.55	0.0200	0.0200	0.4200
MEPCE	gi|4503529|gn|EIF4A1:1973|	gi|4503529|gn|EIF4A1:1973|	46_Swath_MEPCEJune7-Biorep3	1.178	1.178	1	0.00	0.00	25.03	0.0000	0.0000	0.9404
MEPCE	gi|157649073|gn|CAP1:10487|	gi|157649073|gn|CAP1:10487|	46_Swath_MEPCEJune7-Biorep3	0.578	0.578	1	0.00	0.00	0.59	0.0000	0.0000	0.9404
MEPCE	gi|119220557|gn|PAICS:10606|	gi|119220557|gn|PAICS:10606|	46_Swath_MEPCEJune7-Biorep3	1.112	1.112	1	0.00	0.00	1.34	0.0000	0.0000	0.9404
MEPCE	gi|13904866|gn|RPL28:6158|	gi|13904866|gn|RPL28:6158|	46_Swath_MEPCEJune7-Biorep3	1.451	1.451	1	0.16	0.16	0.54	0.1620	0.1620	0.3049
MEPCE	gi|224451142|gn|STMN1:3925|	gi|224451142|gn|STMN1:3925|	46_Swath_MEPCEJune7-Biorep3	0.482	0.482	1	0.00	0.00	0.68	0.0000	0.0000	0.9404
MEPCE	gi|5453603|gn|CCT2:10576|	gi|5453603|gn|CCT2:10576|	46_Swath_MEPCEJune7-Biorep3	2.776	2.776	1	0.00	0.00	3.39	0.0000	0.0000	0.9404
MEPCE	gi|4506193|gn|PSMB1:5689|	gi|4506193|gn|PSMB1:5689|	46_Swath_MEPCEJune7-Biorep3	0.531	0.531	1	0.00	0.00	0.90	0.0000	0.0000	0.9404
MEPCE	gi|4506661|gn|RPL7A:6130|	gi|4506661|gn|RPL7A:6130|	46_Swath_MEPCEJune7-Biorep3	1.827	1.827	1	0.75	0.75	0.16	0.7520	0.7520	0.0937
MEPCE	gi|29788768|gn|TUBB2B:347733|	gi|29788768|gn|TUBB2B:347733|	46_Swath_MEPCEJune7-Biorep3	4.801	4.801	1	0.00	0.00	5.89	0.0000	0.0000	0.9404
MEPCE	gi|320461711|gn|PRDX1:5052|	gi|320461711|gn|PRDX1:5052|	46_Swath_MEPCEJune7-Biorep3	2.843	2.843	1	0.00	0.00	3.22	0.0000	0.0000	0.9404
MEPCE	gi|27262647|gn|ATXN2L:11273|	gi|27262647|gn|ATXN2L:11273|	46_Swath_MEPCEJune7-Biorep3	0.064	0.064	1	0.00	0.00	1.75	0.0000	0.0000	0.9404
MEPCE	gi|17158044|gn|RPS6:6194|	gi|17158044|gn|RPS6:6194|	46_Swath_MEPCEJune7-Biorep3	2.222	2.222	1	0.00	0.00	3.50	0.0000	0.0000	0.9404
MEPCE	gi|148747437|gn|MOB1A:55233|	gi|148747437|gn|MOB1A:55233|	46_Swath_MEPCEJune7-Biorep3	0.369	0.369	1	0.00	0.00	0.47	0.0000	0.0000	0.9404
MEPCE	gi|19923969|gn|CCDC124:115098|	gi|19923969|gn|CCDC124:115098|	46_Swath_MEPCEJune7-Biorep3	0.917	0.917	1	0.00	0.00	1.15	0.0000	0.0000	0.9404
MEPCE	gi|14141152|gn|HNRNPM:4670|	gi|14141152|gn|HNRNPM:4670|	46_Swath_MEPCEJune7-Biorep3	2.476	2.476	1	0.00	0.00	2.33	0.0000	0.0000	0.9404
MEPCE	gi|4507947|gn|YARS:8565|	gi|4507947|gn|YARS:8565|	46_Swath_MEPCEJune7-Biorep3	0.723	0.723	1	0.00	0.00	0.75	0.0000	0.0000	0.9404
MEPCE	gi|39930523|gn|C11orf84:144097|	gi|39930523|gn|C11orf84:144097|	46_Swath_MEPCEJune7-Biorep3	0.649	0.649	1	0.00	0.00	0.63	0.0000	0.0000	0.9404
MEPCE	gi|10716563|gn|CANX:821|	gi|10716563|gn|CANX:821|	46_Swath_MEPCEJune7-Biorep3	0.595	0.595	1	0.92	0.92	.	0.9220	0.9220	0.0289
MEPCE	gi|4506741|gn|RPS7:6201|	gi|4506741|gn|RPS7:6201|	46_Swath_MEPCEJune7-Biorep3	3.240	3.240	1	0.00	0.00	3.56	0.0000	0.0000	0.9404
MEPCE	gi|38455427|gn|CCT4:10575|	gi|38455427|gn|CCT4:10575|	46_Swath_MEPCEJune7-Biorep3	2.125	2.125	1	0.00	0.00	2.11	0.0000	0.0000	0.9404
MEPCE	gi|41327771|gn|DDX23:9416|	gi|41327771|gn|DDX23:9416|	46_Swath_MEPCEJune7-Biorep3	2.000	2.000	1	0.63	0.63	0.45	0.6260	0.6260	0.1467
MEPCE	gi|7706425|gn|LSM8:51691|	gi|7706425|gn|LSM8:51691|	46_Swath_MEPCEJune7-Biorep3	2.339	2.339	1	0.71	0.71	0.37	0.7140	0.7140	0.1049
MEPCE	gi|226371750|gn|TUT1:64852|	gi|226371750|gn|TUT1:64852|	46_Swath_MEPCEJune7-Biorep3	0.121	0.121	1	0.02	0.02	.	0.0220	0.0220	0.4105
